DIALS 3.dev.1399-g5d3eb2eaa
The following parameters have been modified:

spotfinder {
  mp {
    nproc = 4
  }
}
input {
  experiments = imported.expt
}

Setting spotfinder.filter.min_spot_size=3
Configuring spot finder from input parameters
--------------------------------------------------------------------------------
Finding strong spots in imageset 0
--------------------------------------------------------------------------------

Finding spots in image 1 to 540...
Setting chunksize=27
Extracting strong pixels from images
 Using multiprocessing with 4 parallel job(s)

Found 3012 strong pixels on image 364
Found 2884 strong pixels on image 365
Found 3022 strong pixels on image 366
Found 3040 strong pixels on image 367
Found 2939 strong pixels on image 368
Found 3004 strong pixels on image 369
Found 3165 strong pixels on image 370
Found 2613 strong pixels on image 371
Found 2657 strong pixels on image 372
Found 2744 strong pixels on image 373
Found 2783 strong pixels on image 374
Found 2917 strong pixels on image 375
Found 2651 strong pixels on image 376
Found 2717 strong pixels on image 377
Found 2858 strong pixels on image 378
Found 2770 strong pixels on image 379
Found 2736 strong pixels on image 380
Found 2536 strong pixels on image 381
Found 2556 strong pixels on image 382
Found 2683 strong pixels on image 383
Found 2566 strong pixels on image 384
Found 2739 strong pixels on image 385
Found 2981 strong pixels on image 386
Found 2730 strong pixels on image 387
Found 2794 strong pixels on image 388
Found 3135 strong pixels on image 389
Found 3032 strong pixels on image 390
Found 3082 strong pixels on image 391
Found 3032 strong pixels on image 392
Found 3135 strong pixels on image 393
Found 2924 strong pixels on image 394
Found 2671 strong pixels on image 395
Found 2762 strong pixels on image 396
Found 2836 strong pixels on image 397
Found 2811 strong pixels on image 398
Found 2689 strong pixels on image 399
Found 2769 strong pixels on image 400
Found 2560 strong pixels on image 401
Found 2524 strong pixels on image 402
Found 2588 strong pixels on image 403
Found 2681 strong pixels on image 404
Found 2623 strong pixels on image 405
Found 2734 strong pixels on image 406
Found 3003 strong pixels on image 407
Found 2839 strong pixels on image 408
Found 2704 strong pixels on image 409
Found 2702 strong pixels on image 410
Found 2705 strong pixels on image 411
Found 2850 strong pixels on image 412
Found 2738 strong pixels on image 413
Found 2688 strong pixels on image 414
Found 2761 strong pixels on image 415
Found 2893 strong pixels on image 416
Found 2748 strong pixels on image 417
Found 2781 strong pixels on image 418
Found 2607 strong pixels on image 419
Found 2846 strong pixels on image 420
Found 3039 strong pixels on image 421
Found 2744 strong pixels on image 422
Found 2775 strong pixels on image 423
Found 2326 strong pixels on image 424
Found 2425 strong pixels on image 425
Found 2437 strong pixels on image 426
Found 2585 strong pixels on image 427
Found 2690 strong pixels on image 428
Found 2428 strong pixels on image 429
Found 2460 strong pixels on image 430
Found 2653 strong pixels on image 431
Found 2589 strong pixels on image 432
Found 2717 strong pixels on image 433
Found 2693 strong pixels on image 434
Found 2799 strong pixels on image 435
Found 2555 strong pixels on image 436
Found 2559 strong pixels on image 437
Found 2571 strong pixels on image 438
Found 2533 strong pixels on image 439
Found 2726 strong pixels on image 440
Found 2591 strong pixels on image 441
Found 2825 strong pixels on image 442
Found 2548 strong pixels on image 443
Found 2570 strong pixels on image 444
Found 2696 strong pixels on image 445
Found 2596 strong pixels on image 446
Found 2545 strong pixels on image 447
Found 2566 strong pixels on image 448
Found 2614 strong pixels on image 449
Found 2369 strong pixels on image 450
Found 2634 strong pixels on image 451
Found 2828 strong pixels on image 452
Found 2620 strong pixels on image 453
Found 2431 strong pixels on image 454
Found 2530 strong pixels on image 455
Found 2612 strong pixels on image 456
Found 2503 strong pixels on image 457
Found 2724 strong pixels on image 458
Found 2538 strong pixels on image 459
Found 2694 strong pixels on image 460
Found 2821 strong pixels on image 461
Found 2922 strong pixels on image 462
Found 2924 strong pixels on image 463
Found 2885 strong pixels on image 464
Found 2619 strong pixels on image 465
Found 2610 strong pixels on image 466
Found 2528 strong pixels on image 467
Found 2616 strong pixels on image 468
Found 2778 strong pixels on image 469
Found 2638 strong pixels on image 470
Found 2598 strong pixels on image 471
Found 2609 strong pixels on image 472
Found 2676 strong pixels on image 473
Found 2653 strong pixels on image 474
Found 2551 strong pixels on image 475
Found 2492 strong pixels on image 476
Found 2785 strong pixels on image 477
Found 2699 strong pixels on image 478
Found 2547 strong pixels on image 479
Found 2441 strong pixels on image 480
Found 2687 strong pixels on image 481
Found 2600 strong pixels on image 482
Found 2527 strong pixels on image 483
Found 2769 strong pixels on image 484
Found 2595 strong pixels on image 485
Found 2718 strong pixels on image 486
Found 2794 strong pixels on image 487
Found 2807 strong pixels on image 488
Found 2630 strong pixels on image 489
Found 2738 strong pixels on image 490
Found 2596 strong pixels on image 491
Found 2692 strong pixels on image 492
Found 2623 strong pixels on image 493
Found 2725 strong pixels on image 494
Found 2840 strong pixels on image 495
Found 2740 strong pixels on image 496
Found 2775 strong pixels on image 497
Found 2716 strong pixels on image 498
Found 2563 strong pixels on image 499
Found 2749 strong pixels on image 500
Found 2809 strong pixels on image 501
Found 2857 strong pixels on image 502
Found 2545 strong pixels on image 503
Found 2796 strong pixels on image 504
Found 2875 strong pixels on image 505
Found 2760 strong pixels on image 506
Found 2730 strong pixels on image 507
Found 2729 strong pixels on image 508
Found 2771 strong pixels on image 509
Found 2434 strong pixels on image 510
Found 2474 strong pixels on image 511
Found 2656 strong pixels on image 512
Found 2590 strong pixels on image 513
Found 2687 strong pixels on image 514
Found 2703 strong pixels on image 515
Found 2828 strong pixels on image 516
Found 2592 strong pixels on image 517
Found 2423 strong pixels on image 518
Found 2568 strong pixels on image 519
Found 2545 strong pixels on image 520
Found 2479 strong pixels on image 521
Found 2416 strong pixels on image 522
Found 2432 strong pixels on image 523
