DIALS 3.dev.345-gf2cdeb6c2
The following parameters have been modified:

spotfinder {
  mp {
    nproc = 4
  }
}
input {
  experiments = imported.expt
}

Setting spotfinder.filter.min_spot_size=3
Configuring spot finder from input parameters
--------------------------------------------------------------------------------
Finding strong spots in imageset 0
--------------------------------------------------------------------------------

Finding spots in image 1 to 720...
Setting chunksize=20
Extracting strong pixels from images
 Using multiprocessing with 4 parallel job(s)

Found 1354 strong pixels on image 353
Found 1551 strong pixels on image 354
Found 1390 strong pixels on image 355
Found 1388 strong pixels on image 356
Found 1507 strong pixels on image 357
Found 1362 strong pixels on image 358
Found 1205 strong pixels on image 359
Found 1453 strong pixels on image 360
Found 1518 strong pixels on image 361
Found 1546 strong pixels on image 362
Found 1327 strong pixels on image 363
Found 1324 strong pixels on image 364
Found 1545 strong pixels on image 365
Found 1367 strong pixels on image 366
Found 1452 strong pixels on image 367
Found 1688 strong pixels on image 368
Found 1477 strong pixels on image 369
Found 1371 strong pixels on image 370
Found 1226 strong pixels on image 371
Found 1432 strong pixels on image 372
Found 1460 strong pixels on image 373
Found 1371 strong pixels on image 374
Found 1419 strong pixels on image 375
Found 1296 strong pixels on image 376
Found 1349 strong pixels on image 377
Found 1315 strong pixels on image 378
Found 1238 strong pixels on image 379
Found 1297 strong pixels on image 380
Found 1340 strong pixels on image 381
Found 1375 strong pixels on image 382
Found 1252 strong pixels on image 383
Found 1335 strong pixels on image 384
Found 1267 strong pixels on image 385
Found 1427 strong pixels on image 386
Found 1457 strong pixels on image 387
Found 1345 strong pixels on image 388
Found 1423 strong pixels on image 389
Found 1414 strong pixels on image 390
Found 1426 strong pixels on image 391
Found 1354 strong pixels on image 392
Found 1319 strong pixels on image 393
Found 1363 strong pixels on image 394
Found 1287 strong pixels on image 395
Found 1240 strong pixels on image 396
Found 1264 strong pixels on image 397
Found 1253 strong pixels on image 398
Found 1328 strong pixels on image 399
Found 1406 strong pixels on image 400
Found 1258 strong pixels on image 401
Found 1242 strong pixels on image 402
Found 1291 strong pixels on image 403
Found 1466 strong pixels on image 404
Found 1341 strong pixels on image 405
Found 1208 strong pixels on image 406
Found 1290 strong pixels on image 407
Found 1382 strong pixels on image 408
Found 1309 strong pixels on image 409
Found 1344 strong pixels on image 410
Found 1197 strong pixels on image 411
Found 1397 strong pixels on image 412
Found 1384 strong pixels on image 413
Found 1389 strong pixels on image 414
Found 1338 strong pixels on image 415
Found 1219 strong pixels on image 416
Found 1191 strong pixels on image 417
Found 1408 strong pixels on image 418
Found 1234 strong pixels on image 419
Found 1281 strong pixels on image 420
Found 1121 strong pixels on image 421
Found 1319 strong pixels on image 422
Found 1186 strong pixels on image 423
