DIALS 1.14.32-g3faa4529d
The following parameters have been modified:

spotfinder {
  mp {
    nproc = 4
  }
}
input {
  datablock = datablock.json
}

Setting spotfinder.filter.min_spot_size=3
Configuring spot finder from input parameters
--------------------------------------------------------------------------------
Finding strong spots in imageset 0
--------------------------------------------------------------------------------


Finding spots in image 1 to 720...
Setting chunksize=20
Extracting strong pixels from images
 Using multiprocessing with 4 parallel job(s)

Found 823 strong pixels on image 521
Found 858 strong pixels on image 522
Found 881 strong pixels on image 523
Found 847 strong pixels on image 524
Found 837 strong pixels on image 525
Found 919 strong pixels on image 526
Found 818 strong pixels on image 527
Found 915 strong pixels on image 528
Found 910 strong pixels on image 529
Found 804 strong pixels on image 530
Found 968 strong pixels on image 531
Found 974 strong pixels on image 532
Found 823 strong pixels on image 533
Found 849 strong pixels on image 534
Found 883 strong pixels on image 535
Found 856 strong pixels on image 536
Found 831 strong pixels on image 537
Found 976 strong pixels on image 538
Found 903 strong pixels on image 539
Found 874 strong pixels on image 540
Found 934 strong pixels on image 541
Found 851 strong pixels on image 542
Found 828 strong pixels on image 543
Found 925 strong pixels on image 544
Found 894 strong pixels on image 545
Found 838 strong pixels on image 546
Found 841 strong pixels on image 547
Found 794 strong pixels on image 548
Found 967 strong pixels on image 549
Found 973 strong pixels on image 550
Found 936 strong pixels on image 551
Found 881 strong pixels on image 552
Found 918 strong pixels on image 553
Found 832 strong pixels on image 554
Found 1010 strong pixels on image 555
Found 951 strong pixels on image 556
Found 959 strong pixels on image 557
Found 845 strong pixels on image 558
Found 872 strong pixels on image 559
Found 954 strong pixels on image 560
Found 916 strong pixels on image 561
Found 969 strong pixels on image 562
Found 845 strong pixels on image 563
Found 825 strong pixels on image 564
Found 861 strong pixels on image 565
Found 922 strong pixels on image 566
Found 803 strong pixels on image 567
Found 868 strong pixels on image 568
Found 1007 strong pixels on image 569
Found 994 strong pixels on image 570
Found 892 strong pixels on image 571
Found 892 strong pixels on image 572
Found 867 strong pixels on image 573
Found 877 strong pixels on image 574
Found 1016 strong pixels on image 575
Found 929 strong pixels on image 576
Found 954 strong pixels on image 577
Found 849 strong pixels on image 578
Found 977 strong pixels on image 579
Found 842 strong pixels on image 580
Found 1059 strong pixels on image 581
Found 964 strong pixels on image 582
Found 983 strong pixels on image 583
Found 957 strong pixels on image 584
Found 900 strong pixels on image 585
Found 919 strong pixels on image 586
Found 982 strong pixels on image 587
Found 1029 strong pixels on image 588
Found 939 strong pixels on image 589
Found 963 strong pixels on image 590
Found 948 strong pixels on image 591
Found 861 strong pixels on image 592
Found 983 strong pixels on image 593
Found 856 strong pixels on image 594
Found 883 strong pixels on image 595
Found 889 strong pixels on image 596
Found 1043 strong pixels on image 597
Found 937 strong pixels on image 598
Found 1017 strong pixels on image 599
Found 991 strong pixels on image 600
Found 1067 strong pixels on image 601
Found 988 strong pixels on image 602
Found 1080 strong pixels on image 603
Found 990 strong pixels on image 604
Found 920 strong pixels on image 605
Found 989 strong pixels on image 606
Found 981 strong pixels on image 607
Found 1024 strong pixels on image 608
Found 1031 strong pixels on image 609
Found 963 strong pixels on image 610
Found 926 strong pixels on image 611
Found 937 strong pixels on image 612
Found 957 strong pixels on image 613
Found 1014 strong pixels on image 614
Found 961 strong pixels on image 615
Found 1011 strong pixels on image 616
Found 1027 strong pixels on image 617
Found 944 strong pixels on image 618
Found 1047 strong pixels on image 619
Found 1010 strong pixels on image 620
Found 1008 strong pixels on image 621
Found 911 strong pixels on image 622
Found 973 strong pixels on image 623
Found 993 strong pixels on image 624
Found 848 strong pixels on image 625
Found 1039 strong pixels on image 626
Found 1111 strong pixels on image 627
Found 1139 strong pixels on image 628
Found 1037 strong pixels on image 629
Found 1080 strong pixels on image 630
Found 1005 strong pixels on image 631
Found 1007 strong pixels on image 632
Found 1017 strong pixels on image 633
Found 1131 strong pixels on image 634
Found 1117 strong pixels on image 635
Found 1044 strong pixels on image 636
Found 984 strong pixels on image 637
Found 981 strong pixels on image 638
Found 1084 strong pixels on image 639
Found 1140 strong pixels on image 640
Found 1125 strong pixels on image 641
Found 955 strong pixels on image 642
Found 949 strong pixels on image 643
Found 1027 strong pixels on image 644
Found 1034 strong pixels on image 645
Found 1041 strong pixels on image 646
Found 1019 strong pixels on image 647
Found 957 strong pixels on image 648
Found 998 strong pixels on image 649
Found 1030 strong pixels on image 650
Found 1151 strong pixels on image 651
Found 1004 strong pixels on image 652
Found 1056 strong pixels on image 653
Found 1100 strong pixels on image 654
Found 935 strong pixels on image 655
Found 970 strong pixels on image 656
Found 1039 strong pixels on image 657
Found 1022 strong pixels on image 658
Found 1075 strong pixels on image 659
Found 1027 strong pixels on image 660
Found 1182 strong pixels on image 661
Found 1039 strong pixels on image 662
Found 974 strong pixels on image 663
Found 999 strong pixels on image 664
Found 1010 strong pixels on image 665
Found 1044 strong pixels on image 666
Found 1118 strong pixels on image 667
Found 1047 strong pixels on image 668
Found 985 strong pixels on image 669
Found 997 strong pixels on image 670
Found 1001 strong pixels on image 671
Found 1022 strong pixels on image 672
Found 1066 strong pixels on image 673
Found 1025 strong pixels on image 674
Found 975 strong pixels on image 675
Found 942 strong pixels on image 676
Found 1014 strong pixels on image 677
Found 1048 strong pixels on image 678
Found 1126 strong pixels on image 679
Found 979 strong pixels on image 680
Found 1031 strong pixels on image 681
Found 893 strong pixels on image 682
Found 987 strong pixels on image 683
Found 1059 strong pixels on image 684
Found 1071 strong pixels on image 685
Found 1067 strong pixels on image 686
Found 969 strong pixels on image 687
Found 1029 strong pixels on image 688
Found 1000 strong pixels on image 689
Found 1092 strong pixels on image 690
Found 1006 strong pixels on image 691
Found 952 strong pixels on image 692
Found 1028 strong pixels on image 693
Found 1073 strong pixels on image 694
Found 911 strong pixels on image 695
Found 982 strong pixels on image 696
Found 1002 strong pixels on image 697
Found 916 strong pixels on image 698
Found 1023 strong pixels on image 699
Found 1008 strong pixels on image 700
Found 1102 strong pixels on image 701
Found 970 strong pixels on image 702
Found 1008 strong pixels on image 703
Found 984 strong pixels on image 704
Found 949 strong pixels on image 705
Found 907 strong pixels on image 706
Found 980 strong pixels on image 707
Found 1031 strong pixels on image 708
Found 1010 strong pixels on image 709
Found 947 strong pixels on image 710
Found 1029 strong pixels on image 711
Found 983 strong pixels on image 712
Found 1051 strong pixels on image 713
Found 992 strong pixels on image 714
Found 1042 strong pixels on image 715
Found 970 strong pixels on image 716
Found 1087 strong pixels on image 717
Found 999 strong pixels on image 718
Found 829 strong pixels on image 719
Found 944 strong pixels on image 720

Extracted 178377 spots
Removed 74450 spots with size < 3 pixels
Removed 13 spots with size > 100 pixels
Calculated 103914 spot centroids
Calculated 103914 spot intensities
Filtered 103780 of 103914 spots by peak-centroid distance

Histogram of per-image spot count for imageset 0:
103780 spots found on 720 images (max 1982 / bin)
*                                                          *
**************    * *************** ****          * ********
************************************************************
************************************************************
************************************************************
************************************************************
************************************************************
************************************************************
************************************************************
************************************************************
1                         image                          720

--------------------------------------------------------------------------------
Saved 103780 reflections to strong.pickle
Time Taken: 79.174056
